ID,Titolo,Descrizione,Foto,Vani,MetriQuadri,Latitudine,Longitudine,Comune,Città,Provincia,Nazione
1,Appartamento Centrale,"Appartamento luminoso in centro città","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,80,45.4642,9.1900,Centro,Milano,MI,Italia
2,Villa con Giardino,"Villa spaziosa con ampio giardino privato","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",6,200,41.9028,12.4964,Trastevere,Roma,RM,Italia
3,Monolocale Moderno,"Monolocale arredato vicino all'università","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",1,35,44.4949,11.3426,San Donato,Bologna,BO,Italia
4,Attico Panoramico,"Attico con vista panoramica sulla città","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",4,120,40.8518,14.2681,Chiaia,Napoli,NA,Italia
5,Casa Rustica,"Casa rustica immersa nel verde","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,150,43.7696,11.2558,Settignano,Firenze,FI,Italia
6,Bilocale Accogliente,"Bilocale recentemente ristrutturato","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,55,45.0703,7.6869,San Salvario,Torino,TO,Italia
7,Loft Industriale,"Loft in stile industriale con soppalco","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,70,45.4384,10.9916,Centro,Verona,VR,Italia
8,Appartamento Vista Mare,"Appartamento con terrazza vista mare","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,90,44.4056,8.9463,Boccadasse,Genova,GE,Italia
9,Trilocale Familiare,"Trilocale ideale per famiglie","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,85,45.4064,11.8768,Arcella,Padova,PD,Italia
10,Attico di Lusso,"Attico di lusso con piscina privata","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,180,45.4654,9.1866,Brera,Milano,MI,Italia
